Author,final_sentiment
@EL-pw2cn,unknown
@EVENT_Horizon01,unknown
@EastStar0617,SAMSUNG
@Eastsea-on-a-dolphin,KIA
@Eddysumin,unknown
@EdwardKim-hd2vy,KIA
@Effdfdfdfasd,unknown
@EggIsMyLife,SAMSUNG
@Eh-m3d,KIA
@Eileen_1115,SAMSUNG
@EisDame,SAMSUNG
@Eli-ui2ix,KIA
@ElinKim-t3y,SAMSUNG
@Emilyens33,KIA
@Emiya.mulzomdao,KIA
@End-q5k,KIA
@Engedu2,SAMSUNG
@EnjoySmart-c4d,SAMSUNG
@Enthus1asmm,KIA
@Enu-ja,unknown
@Eskss-x7y,unknown
@EssoLove11,KIA
@Euijun-o8i,SAMSUNG
@EunSu_R,SAMSUNG
@Eunchan4,KIA
@Euwvsuxvzj2626,unknown
@EveElliott-x3p,SAMSUNG
@ExaltedUdele,unknown
@FAKOR_,KIA
@FCmobileSINCE2020,SAMSUNG
@Fallenarchz,unknown
@FayeMilburn,unknown
@Feli_Feli_,KIA
@Fffffive02,KIA
@Finallyhappinessismine,SAMSUNG
@Firespewers947,unknown
@Fjeirhskthrj,KIA
@FluorineFFF9,SAMSUNG
@Forevermydream2024,KIA
@Formmicheotdda,SAMSUNG
@Fover2month,unknown
@Fun-zc6qt,unknown
@Fvgbfsgj-m3z,KIA
@G9Mack24,SAMSUNG
@GAHS_Piano41th,unknown
@GB04730G,unknown
@GCA2013,SAMSUNG
@GGang13,KIA
@GHH0905,unknown
@GIGI-gy3xd,KIA
@GNKJfv7rp,KIA
@GOAT-y2d,KIA
@GREATKOREA-qq8zh,unknown
@Gaby_an6688,SAMSUNG
@Gadamada-j9z,SAMSUNG
@Gaeback,SAMSUNG
@Gain-i15n,KIA
@Gang-q5t,SAMSUNG
@GarubiSang,SAMSUNG
@Gary-x2d,KIA
@Gear3rd,KIA
@Geeureumppaengi,SAMSUNG
@Gen_dong,SAMSUNG
@GeneralDoo70,SAMSUNG
@GentlemanSuperKor82,unknown
@George-n4s4z,unknown
@GingerJar,SAMSUNG
@Gingpoa,SAMSUNG
@Giseok.p,KIA
@Gjwls,SAMSUNG
@Gloria_KMJ,SAMSUNG
@GoFrogJump,SAMSUNG
@GoGo-vk8ou,unknown
@Goat8654,KIA
@GobuK777,KIA
@Godqhrgktpdy,unknown
@Goodboy1-1,SAMSUNG
@GoogleYahoo-r5r,SAMSUNG
@Gotothemo-y9m,SAMSUNG
@GragoryK,unknown
@Grassland3208,KIA
@Gulbi-k8q8m,SAMSUNG
@GunBangHong,unknown
@Gunhee55555,KIA
@Guzi335,unknown
@Gwangju_K_zem-min,KIA
@Gyotongyeohaeng,SAMSUNG
@G양-I9금-야노-j1q,unknown
@G양-I9금-야노-j4f,KIA
@HAHAEDD,SAMSUNG
@HAILEY_1004,SAMSUNG
@HATTE.,SAMSUNG
@HBRacing_GDRC,KIA
@HCH-v5l,KIA
@HEODDUNGSEON,KIA
@HHHHH-v9u,KIA
@HIPO_MBB,SAMSUNG
@HISTAT-k8j,unknown
@HJ-tz3pt,SAMSUNG
@HJ-vp5yd,SAMSUNG
@HJH0925,SAMSUNG
@HL-ft7tj,SAMSUNG
@HOGURI-g3g,unknown
@HOSUNE-88,KIA
@HRtttttttt-p7f,SAMSUNG
@HW_722,unknown
@HXL0706,SAMSUNG
@Ha0un9,KIA
@Habanki,KIA
@Haeei_lucky,KIA
@Hageum,unknown
@Haigo-w5o,SAMSUNG
@Hale_0219k,SAMSUNG
@Hama-k5g,KIA
@Hang_e,SAMSUNG
@Hanryang-d3p,KIA
@Happy-eu7wd,KIA
@Happy-je5jw,KIA
@Happy____y,SAMSUNG
@Hassonyy7,KIA
@HawaiiDailyReport,SAMSUNG
@Head_of_the_tablee,unknown
@HeeCheolKim-y1s,KIA
@Hello-w3o,KIA
@Hellothatsme,KIA
@Hen-el5fv,SAMSUNG
@Heogocheok,SAMSUNG
@Heoygul,KIA
@HermannChung,unknown
@Herry22888,KIA
@Heylittlebird,SAMSUNG
@Hg-i6w,unknown
@Hhudus,unknown
@Hi-bp2mg,KIA
@Hi.G-,unknown
@Highfuckbatbat,SAMSUNG
@Hill__Lv9,SAMSUNG
@Hj.351,KIA
@Hjjin0524,unknown
@Hnk-vi6fc,SAMSUNG
@HockieFowler,SAMSUNG
@HollyhollyHollyhollyHolly,unknown
@Holololo112,KIA
@Hon_youn_1_chae_,SAMSUNG
@HoneyBee-ft2gt,KIA
@HoneySsori,SAMSUNG
@HosngYi,KIA
@Hot_guy_lions,SAMSUNG
@Huhu_log,KIA
@Hwangjiridom,KIA
@HwnaheeYoo,KIA
@HyEOn_n,SAMSUNG
@Hye-bizi,SAMSUNG
@Hyein_Park,unknown
@Hyo-s3v,SAMSUNG
@Hyper준,KIA
@Hyun-zo1ww,SAMSUNG
@HyunA_Sings2977,SAMSUNG
@HyunKang-ut3jt,unknown
@HyungJoon_Kim,SAMSUNG
@Hyunjin-love.,unknown
@H사임당,KIA
@H워얼V,SAMSUNG
@H원이,KIA
@I9딸감용-자료U-j8s,KIA
@I9딸용-자료-oK,KIA
@IGISA,SAMSUNG
@IIllIlIIl,unknown
@ILoveDalgona,SAMSUNG
@IMAXTIGERS,unknown
@INDCEOIMC,KIA
@IQ20626,unknown
@ISfj__nj,unknown
@I_LOVE_KIMSUNBIN_3,KIA
@I_hate_Tottenham,KIA
@I_luv_bao,KIA
@I_want_go_home.dwg.,KIA
